purchase,item,charge,price,is the customer a student/faculty/staff (0) or unaffiliated (1),customer id,receipt,contact preference,newsletter,sales,preferred customer discount
1,396941,cost,50,0,4,FALSE,email,TRUE,TRUE,TRUE
1,396941,tax,0.5,0,4,FALSE,email,TRUE,TRUE,TRUE
2,528028,cost,20.99,1,--,TRUE,--,--,--,--
2,528028,tax,0.3,1,--,TRUE,--,--,--,--
2,396941,cost,50,1,--,TRUE,--,--,--,--
2,396941,tax,0.5,1,--,TRUE,--,--,--,--
2,519880,cost,10,1,--,TRUE,--,--,--,--
2,519880,tax,0.1,1,--,TRUE,--,--,--,--
3,4011,cost,0.69,0,4,TRUE,email,TRUE,TRUE,TRUE
3,4011,tax,0.01,0,4,TRUE,email,TRUE,TRUE,TRUE
3,2028,cost,2.5,0,4,TRUE,email,TRUE,TRUE,TRUE
3,2028,tax,0.03,0,4,TRUE,email,TRUE,TRUE,TRUE
4,781941,cost,105.49,0,1500,TRUE,mail,TRUE,TRUE,FALSE
4,781941,tax,1.05,0,1500,TRUE,mail,TRUE,TRUE,FALSE
5,528028,cost,20.99,1,--,TRUE,--,--,--,--
5,528028,tax,0.3,1,--,TRUE,--,--,--,--
5,528028,cost,20.99,1,--,TRUE,--,--,--,--
5,528028,tax,0.3,1,--,TRUE,--,--,--,--
5,528028,cost,20.99,1,--,TRUE,--,--,--,--
5,528028,tax,0.3,1,--,TRUE,--,--,--,--
5,528028,cost,20.99,1,--,TRUE,--,--,--,--
5,528028,tax,0.3,1,--,TRUE,--,--,--,--
6,4251550,cost,5.99,0,90092,FALSE,email,FALSE,TRUE,FALSE
6,4251550,tax,0.06,0,90092,FALSE,email,FALSE,TRUE,FALSE
6,4251550,cost,5.99,0,90092,FALSE,email,FALSE,TRUE,FALSE
6,4251550,tax,0.06,0,90092,FALSE,email,FALSE,TRUE,FALSE
6,5888032,cost,15,0,90092,FALSE,email,FALSE,TRUE,FALSE
6,5888032,tax,0.15,0,90092,FALSE,email,FALSE,TRUE,FALSE
7,4011,cost,0.69,1,--,FALSE,--,--,--,--
7,4011,tax,0.01,1,--,FALSE,--,--,--,--
8,781941,cost,105.49,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,781941,tax,1.05,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,528028,cost,20.99,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,528028,tax,0.3,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,528028,cost,20.99,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,528028,tax,0.3,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,519880,cost,10,0,233266,TRUE,fax,TRUE,TRUE,TRUE
8,519880,tax,0.1,0,233266,TRUE,fax,TRUE,TRUE,TRUE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
9,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
10,396941,cost,50,0,1013596,TRUE,email,FALSE,TRUE,FALSE
10,396941,tax,0.5,0,1013596,TRUE,email,FALSE,TRUE,FALSE
11,4011,cost,0.69,0,4,TRUE,email,TRUE,TRUE,TRUE
11,4011,tax,0.01,0,4,TRUE,email,TRUE,TRUE,TRUE
11,2028,cost,2.5,0,4,TRUE,email,TRUE,TRUE,TRUE
11,2028,tax,0.03,0,4,TRUE,email,TRUE,TRUE,TRUE
12,4251550,cost,5.99,0,69742,FALSE,email,FALSE,FALSE,FALSE
12,4251550,tax,0.06,0,69742,FALSE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,cost,105.49,0,90543,TRUE,email,FALSE,FALSE,FALSE
13,781941,tax,1.05,0,90543,TRUE,email,FALSE,FALSE,FALSE
